retail,ASIN,weight,dim,selling,channel
9.21,B000BOC5LW,1.8298346,2.001489556,2.359999895,1
13.99,B009LN8EBY,0.220462,1.529104655,2.839999914,1
13.99,B01LR5RG08,6.1508898,0.721747934,3.049999952,1
9.99,B00EA0QLJ0,0.2645544,0.658529137,3.190000057,1
9.99,B07RVDLXDQ,0.19621118,1.511543878,3.210000038,1
9.63,B00W0J55JK,0.29982832,1.000086249,3.25,1
10.95,B079K1HX93,1.00089748,4.41653541,3.25,1
9.99,B003H2GA66,0.59965664,0.267801849,3.299999952,1
9.99,B00CV4XVIQ,0.27778212,0.9153555,3.319999933,1
11.99,B001ZFIA6U,0.27998674,0.599700534,3.400000095,1
11.25,B004959HHO,0.440924,0.513652727,3.49000001,1
13.95,B0050P218E,1.4991416,3.4783509,3.519999981,1
11.99,B079VWTGC4,0.4299009,1.756516717,3.579999924,1
17.49,B00004YTPE,2.9321446,3.036697359,3.589999914,1
11.99,B00306V3OI,4.94055342,0.185266197,3.599999905,1
10.65,B072FP45KP,0.2645544,0.650187768,3.619999886,1
9.99,B01EGAB42M,0.3968316,2.943186222,3.650000095,1
9.99,B000KL1RFQ,0.220462,0.285801645,3.75,1
13.99,B00EUA5R9U,0.0220462,0.714284604,3.75,1
10,B00Z77D0J4,0.09038942,0.693650691,3.75,1
10.49,B07D7CRMDH,0.50926722,1.331106895,3.75,1
15.49,B01FN7XCZ4,0.661386,0.900867859,3.809999943,1
13.68,B07R9VDP64,0.8157094,0.525067232,3.859999895,1
10.18,B002TWUPHA,0.0992079,0.584334854,3.950000048,1
9.99,B003WY5MVI,0.6503629,2.145048908,3.950000048,1
17.48,B003TQMDPC,1.21033638,0.789795945,3.99000001,1
9.99,B01A58F8TE,0.1763696,0.140925235,4,1
10,B077MHF5G4,0.14991416,0.56413996,4,1
9.98,B07B1QH4BQ,1.10010538,2.050659732,4,1
9.99,B07ZLC5GQC,0.39903622,1.630957162,4,1
14.99,B004IUV8EA,0.2645544,0.71691872,4,1
11.99,B0002INK1G,0.13007258,0.345947307,4.039999962,1
14.67,B079RTGYM1,3.31574848,0.788478886,4.039999962,1
11.48,B01DPBIFKW,2.1495045,1.095353464,4.070000172,1
15.99,B01L9UA9UK,0.9259404,0.344630248,4.119999886,1
12.25,B00DGGNNWM,0.24912206,0.173851692,4.130000114,1
12.19,B00DGGNOV2,0.24912206,0.193168547,4.130000114,1
12.1,B00DGGNQU6,0.20062042,0.193168547,4.130000114,1
14.99,B00QYW955E,0.48942564,3.285182353,4.130000114,1
11.99,B07B6H45KT,0.220462,0.400824735,4.150000095,1
10.99,B00BLTDIJ4,0.50044874,0.246728917,4.199999809,1
19.99,B0016BJ5N0,1.3448182,1.506275645,4.25,1
9.5,B07CQ6S5TW,0.13007258,0.040828806,4.260000229,1
11.99,B07B6GK6HQ,0.73193384,0.095706235,4.289999962,1
19.99,B002BZQIBM,0.44974248,0.902184917,4.300000191,1
12.61,B07TTVC6QH,1.15081164,2.818065686,4.300000191,1
13.39,B006IXH16O,0.24912206,0.863551208,4.309999943,1
21.49,B01LP0U5X0,2.8219136,10.34373666,4.329999924,1
16,B01LP0UKJE,2.976237,10.20632358,4.329999924,1
16,B01LP0UX9G,2.9100984,11.02992402,4.329999924,1
21.49,B01LP0V4JY,3.1746528,10.48597895,4.329999924,1
11.99,B07B6G5DGH,0.74295694,0.583456815,4.329999924,1
15,B00VDUFV5U,4.90087026,0.827551615,4.400000095,1
9.99,B079QR15YJ,0.29982832,1.526470539,4.429999828,1
9,B002APN1C2,0.28219136,0.086486827,4.440000057,1
11.99,B07R4HH7ZS,0.4629702,0.519359979,4.449999809,1
10.99,B079B965W8,0.6172936,0.70199206,4.46999979,1
11.99,B06XTW1BND,0.29100984,0.637895224,4.5,1
21.99,B0731G364H,10.89964128,3.869956227,4.510000229,1
22.64,B0083EQGIA,1.00089748,0.307752617,4.53000021,1
13.97,B01486A312,0.89948496,0.496530969,4.539999962,1
9.99,B00XC9OEE4,0.39903622,0.731406361,4.559999943,1
9.99,B0743QRZJX,0.440924,1.593201491,4.559999943,1
13.97,B01DPBIFNE,6.19939144,2.365875678,4.559999943,1
12.56,B07S16NQGM,2.2266662,2.172268112,4.610000134,1
9.95,B0009J4YA4,0.24030358,1.084816998,4.619999886,1
12.81,B01LZDIHZL,2.94978156,1.934758604,4.690000057,1
14.99,B00SWT5WZE,0.20282504,0.431556094,4.730000019,1
11.99,B01DPBIFQ6,4.14909484,1.676176163,4.869999886,1
12.28,B07DTNQ5ZQ,0.19621118,0.405653948,4.880000114,1
12.18,B07DTRXQFQ,0.1873927,0.363947103,4.880000114,1
12.93,B07DTNKH5N,0.20723428,0.356044753,4.880000114,1
12.49,B07DTY2FCN,0.20062042,0.365703181,4.880000114,1
9.99,B0048H3ZLC,0.24912206,0.164193265,4.900000095,1
9.99,B004XW1SM0,0.20062042,0.387215132,4.900000095,1
9.99,B004XW1SPM,0.20062042,0.673455797,4.900000095,1
9.99,B004XW1YK6,0.24912206,0.317850063,4.900000095,1
9.99,B004XW1YSI,0.26014516,0.982086453,4.900000095,1
9.99,B004XW1YW4,0.26014516,0.673016778,4.900000095,1
9.99,B004XW1YZQ,0.2645544,0.691894613,4.900000095,1
9.99,B004XW1Z4G,0.20062042,0.385898074,4.900000095,1
9.99,B004XW1Z64,0.24912206,0.458775299,4.900000095,1
9.99,B004XW1Z8W,0.29982832,0.283606548,4.900000095,1
9.99,B004XW1ZCS,0.24912206,0.575554466,4.900000095,1
