ASIN,channel,retail,1m,weight,selling
B07DQD1NV7,0,66.42,522.3018483,10.20077674,65.17
B00TO38M5E,0,77.5,3210.700952,6.47937818,76.02
B005VAIHHW,0,195.84,7011.501083,97.99976824,191.89
B07BY88V1Q,0,82.64,588.9397287,19.55057016,80
B00L9XNFPY,0,289.99,3748.075654,17.65018772,280
B0716JZVG9,0,81.17,1194.660975,45.2498255,78
B07Z73XXXM,0,22.99,248.976696,0.78925396,22
B003YE47Q2,0,94.39,8246.4377,37.47854,90.3
B01MY5MZSQ,0,28.3,1526.690927,0.00220462,27
B07XRMD94C,0,34.99,271.9826309,11.64921208,33.26
B07TPHYH83,0,93.8,309.0240168,0.63493056,89
B077SB7SMX,0,66.56,740.3395284,9.44900132,62.99
B06ZYJ3G2X,0,136.23,1240.489774,23.39983668,128.1
B00113K5JG,0,482.99,11665.71766,119.9996712,453.68
B07QFYCMZ2,0,52.39,353.4492704,13.49888826,49.1
B00113K5K0,0,417.77,11665.71766,119.9996712,390.55
B07N4DBSH1,0,10,24.0433378,0.05732012,9.31
B0032UOY8E,0,538.4,9000.019371,50.0007816,500
B0071I0Q5S,0,82.99,6583.29778,30.99916182,76.76
B08669GVMV,0,64.88,16.9645886,0.55335962,60
B06VTCFNJP,1,69.95,1386.580511,16.0496336,64.38
B071RYN6MH,0,97.95,1074.322239,51.14938862,90
B01G9B2VP0,0,76.68,2139.796041,46.20001672,70
B07V6SKW81,0,311.7,302.9826705,3.09969572,284.3
B07F6VKJ53,0,57.16,491.240785,32.05076556,52
B00I0ZZ21E,0,241.97,4391.509547,33.510224,220
B00BYG6TIG,0,35.24,66.7599278,1.04939912,32.03
B01G4BE66W,0,124.65,2155.29606,8.3003943,113.28
B00GHA42YW,0,95.44,4667.031552,13.75021494,86.58
B005Y6YGEQ,0,12.14,35.2716986,0.1763696,10.99
B00ORZBZMG,0,115.99,3481.64618,13.45038662,105
B0869945ND,0,35.5,78.6595493,1.10010538,32.03
B003B3NQYA,0,180.96,8850.694377,72.99937744,162.99
B074V6Q1DW,0,80.22,849.8770699,6.0406588,72.11
B07NPTNP87,0,67.51,374.5634706,1.70637588,60.67
B013755CKW,0,133.74,2851.088288,107.0497333,120
B002TE5Y38,0,139.95,9187.606225,11.55000418,125.53
B07SNVWGQF,0,49.99,321.1677331,1.60055412,44.83
B017HSNIEW,1,25.02,2615.658853,3.67951078,22.43
B06WVPYCNK,1,64.99,1360.950557,5.85106148,58.25
B071Z8QKVP,0,66.99,1028.615487,3.75005862,60
B000NV0BIM,0,189,12568.19716,102.9998464,169.13
B00FMIVSUQ,0,249,4743.006059,60.00093792,222.74
B01DQV3ELQ,0,69.99,2273.926133,11.99974666,62.58
B01FYWU2IS,0,69.99,2157.492914,11.55000418,62.58
B01GHHIUEM,0,69.99,2120.207433,10.84893502,62.58
B01HIUT9FG,0,69.99,2069.313667,11.55000418,62.58
B001RQ3WPG,0,123.09,10071.96169,42.50066436,110.04
B0149FXVS4,0,17.98,111.5513236,2.14068602,16.07
B01BL0U732,0,44.76,2424.837743,11.90053876,40
B08BXQC7YR,0,35.89,76.2186013,1.4109568,32.03
B00AKSCZ28,0,134.56,5512.636963,10.29998464,120
B078Z151Y6,1,29.99,685.7843406,4.19539186,26.73
B01LZM2PX4,0,54.99,1702.866349,7.5838928,49
B01MDUUHFD,0,54.99,1621.704828,6.49921976,49
B004REGR4S,0,170.82,7579.265587,13.95083536,152.09
B08FMF2S4V,0,35.98,75.4863169,1.47930002,32.03
B000VH4ELS,0,270.83,11980.78302,55.00085976,241.06
B07FQT8H55,0,35.99,92.9390951,1.45063996,32.03
B00MOV5TB8,0,35.99,65.2343353,1.3999337,32.03
B07J3298Q7,0,77.9,51.1988843,3.80076488,69.29
B01DGMLMVE,0,103.67,2291.806077,16.0055412,92.2
B074DZGRMG,1,76.48,883.5011286,6.04947728,67.99
B078Y8NBHQ,0,89.99,56.2638514,0.85098332,80
B01HNQ4U36,0,89.99,2031.051807,14.94952822,79.99
B01HNQ4MDO,0,97.83,2032.699447,42.00021562,86.91
B013I2A8HQ,0,50.66,2839.920951,6.40001186,45
B00WHIGEO4,0,16.9,113.3210109,0.440924,15
B00YOHRUWG,0,121.95,3063.938953,8.69943052,108.2
B001RPW7QC,0,255.96,10115.28851,80.49949468,227
B00S7IM3UC,0,75.57,3272.640007,18.24984436,67
B003UCKYA6,0,99.99,8415.412325,39.9918068,88.6
B01FFL7CTK,0,69.99,30.5728737,0.1763696,62
B000IDXCXQ,0,78.99,13396.34979,18.95091352,69.97
B072QCB6WK,0,79.04,955.3260235,15.00023448,70
B00WNF65Q8,0,99.99,3103.421287,14.85032032,88.5
B00FMJK35Q,0,179.99,4740.565111,28.99957148,159.29
B00HV7Z15O,0,179.99,4484.448642,29.79984854,159.29
B012SK6Z7G,0,173.99,2878.426905,38.04953658,153.94
B01GSS6JHA,0,129.99,2110.443641,56.20017304,115
B077NZVMZK,0,99.09,743.5127608,4.3100321,87.64
B00NPZ7G4K,0,125.99,3557.437615,21.94919672,111.4
B06XSTB5SC,1,69,1276.920923,7.3413846,61
B0042SUTD4,0,164.52,8095.404042,24.25082,145.44
B010DNGRU0,0,99.99,2940.488008,28.6490369,88.35
B08CS3L4HZ,0,59.99,160.3092599,0.59965664,53
B01LZFK54W,0,62.55,1705.429344,3.3510224,55.25
B000LOF6CW,0,349.99,12821.20142,66.18930626,308.33
B071HG6Y7G,0,43.85,1123.690412,7.50011724,38.61
B01HIUTE06,0,65.59,2064.675866,8.9507572,57.75
B00N1Y15JW,0,239,3600.093182,31.79943888,210.32
B07SJW3GL8,1,125.83,324.8291551,2.10100286,110.58
B003P90KS0,0,143.99,8593.235387,55.99955262,126.42
B00KWKD2TY,0,54.72,3795.369022,5.00007816,48
B009SGR118,0,199.99,5659.887151,19.70048432,175.4
B01MTGDH45,0,54.99,1553.419307,7.495708,48.2
B011W2I1VY,0,86.95,2891.547001,35.19896292,76.21
B0856X54LZ,0,36.53,197.716788,4.49962942,31.99
B0063NDCGW,0,164.99,6926.739163,78.925396,144.48
B01CDJPD7A,0,179.99,2346.971502,21.99990298,157.52
B0119VCDKS,0,219,2902.592291,40.00062528,191.5
B01MYY6A50,0,49,1522.907457,22.65908436,42.84
B00UVQ3V1I,0,76.64,3148.029612,17.14973898,67
B00U8THY70,0,76.75,3170.364286,16.99982482,67
B07D9J9XLK,0,101.97,533.2861143,4.94055342,89
B07C39GT32,0,19.99,54.4331404,1.45063996,17.44
B014JWLDD2,0,85.99,2772.855904,11.79030776,75
B08GCPTD4Z,0,19.99,151.949013,0.95460046,17.43
B01NAN9JHL,0,42.15,1416.054959,2.645544,36.75
B0013Y6KGA,0,418.64,11476.84931,62.99922112,365
B00SVRLQX4,0,76.86,3248.047456,18.0999302,67
B003B3NQWM,0,309.99,8857.162889,52.69923648,270
B01N9JUTCC,0,59.99,1435.2164,6.79904808,52.2
B000BLGPGQ,0,98.55,14999.9916,9.90094842,85.75
B0049MZB04,0,459.99,7977.323183,91.48952538,400
B00CMPCMHU,0,22.95,121.2540919,0.440924,19.95
B077XPW1ZD,0,43.68,56.3858988,0.3858085,37.97
B01179BA6U,0,28.77,112.8328213,1.04058064,25
B01DBKZXCK,0,28.77,108.3170675,1.00089748,25
B07F43RZS5,0,83.72,495.6344914,17.55097982,72.66
B06XCYK12M,0,109.99,1324.885551,7.495708,95.4
B000S5HWQC,0,205.87,12151.52733,46.5505513,178.5
B00AVFOJN8,0,138.57,5470.713681,20.8997976,120
B078YB99H8,0,34.99,690.4221418,4.12043478,30.3
B078YN9MXJ,0,34.99,688.4083597,4.2108242,30.3
B00PUIIZ6I,0,89.95,3394.260241,4.55033568,77.89
B00QN6LC9I,0,99,3368.325169,43.90059806,85.56
B07PTNTS3R,0,50.92,359.3685693,1.90038244,44
B000NUYC3S,0,329.99,12589.00624,128.0002372,285
B0048WPWB8,0,439.99,7988.795638,112.4400292,380
B08KGX136W,0,136.82,143.5277424,1.54984786,118.15
B074PVJ7W7,0,81.19,859.7629093,6.45071812,70
B00IJFQLXI,0,96.99,4308.27322,37.47854,83.53
B0714D5X7Z,0,55.99,1201.373582,5.5997348,48.2
B077TM47TL,0,123.52,740.0344099,2.976237,106.25
B01NCLR2L0,0,81.38,1397.686825,34.44057364,70
B01H7HOS2O,0,69.99,2082.738881,7.59932514,60.2
B00EX7FCJ0,0,259,4825.998291,59.76063434,222.74
B07QG3X6KQ,0,99.99,353.327223,8.50101472,85.99
B07SKX6GJ9,0,99.99,323.7917522,10.24927838,85.99
B001ASB15E,0,140.57,11105.94726,35.65091002,120.87
B01NBYTH1J,0,49.95,1402.263602,9.7995359,42.93
B004UAZITO,0,80.99,7553.147444,34.44939212,69.54
B01J8UJLC0,0,64.99,1918.890247,10.5491067,55.77
B000VZ2Q5G,0,114.99,11940.26328,52.249494,98.67
B082978NWJ,0,64.1,224.3841449,2.14068602,55
B077CV2LWK,0,44.99,752.422221,3.63100914,38.6
B01M6C5UV7,0,98.14,1654.840697,18.80099936,84.2
B07235NK81,0,29.15,1010.125306,1.99959034,25
B08QVH5W6C,0,24.99,74.2048192,1.3007258,21.43
B018GWY8YC,0,29.16,111.0021103,1.00971596,25
B074KMZ4TT,0,48.99,870.0759146,7.2531998,42
B00XELE4EA,0,69.99,3084.259845,19.55057016,60
B072MRCL75,0,69.99,959.6587062,10.00015632,60
B00KBIDF6M,0,128.01,3954.701902,30.35100354,109.69
B01N7FE1PH,0,39.95,1448.702638,8.15048014,34.23
B01LVTSW4G,0,70.02,1737.405763,15.3000628,59.99
B08HRCTCLS,0,74.89,147.8604251,1.0251483,64.15
B07B41G64F,0,32.72,629.0322996,21.99990298,28
B071XXMCBG,0,33.89,1033.680454,12.87057156,28.99
B00ZGSHMOS,0,239,2999.986116,30.00046896,204.37
B06ZYJD98M,0,139.99,1239.696466,20.00031264,119.7
B00EO940CC,0,169,4884.581043,55.00085976,144.5
B004YKCBI6,0,94.99,7433.602016,35.34887708,81.21
B07B9N466K,0,32.99,609.016526,2.70947798,28.2
B008G7O0FU,0,199,5993.625767,21.5501605,170
B002R8PYRM,0,29.55,129.2481966,0.9700328,25.23
B07CZRN6FK,0,252.99,554.7664567,2.2597355,215.99
B000UV8RPE,0,299.99,12038.45042,96.99887076,256
B00BF6HWFY,0,131.45,5363.311969,10.4498988,112.11
B00AYLJE8E,0,139,5456.251064,41.19993856,118.52
B00F91J0WY,0,95,4796.340773,23.49904458,81
B01M1D27YO,0,140.99,1682.667504,24.5594668,120.2
B01HM4Z8AI,0,88.74,2050.091202,9.149173,75.65
B003G0KBK0,0,99,8728.463906,39.40096864,84.37
B07RN2JDXJ,0,45.17,336.9728714,0.90830344,38.47
B071JYV6MH,0,140.96,1102.271093,46.1206504,120
B08115S1HB,0,39.95,239.3959751,4.2769628,34
B00432U2CM,0,199,8052.748476,64.95030982,169.31
B005P3MU5K,0,199,7109.383097,65.10022398,169.31
B0019FLW7K,0,119.81,11171.18159,51.85045778,101.9
B01NCWT9IS,0,39.99,1394.330521,6.49921976,34
B00DQQPGKO,0,99.99,5026.339098,36.49968872,85
B00JUM3STY,0,99.99,4106.711939,15.09944238,85
B00JUM42Z8,0,99.99,4097.131218,16.15104612,85
B00KBIDF8K,0,99.99,3951.52867,15.3000628,85
B00KMGOA08,0,99.99,3839.123014,15.3992707,85
B00MTVFY54,0,109.99,3627.004633,36.2990683,93.5
B008G7CK4S,0,119.99,6007.661218,26.45103076,102
B00BLT1J4,0,119.99,5341.70958,29.70064064,102
B00MN95ONE,0,119.99,3677.288162,20.9990055,102
B016VE4IAQ,0,79.95,2685.836108,4.04988694,67.96
B00KTPWWJI,0,89,3812.577705,31.55031682,75.65
B071P2MQ5D,0,129,1080.668703,2.61027008,109.65
B071WRYZNF,0,129,1059.371432,2.76238886,109.65
B072BXGR64,0,129,994.8083574,2.7998674,109.65
B00BNQR4SG,0,144.4,5338.658395,40.69948982,122.74
B00SAVVPPU,0,185,3266.293543,29.2993998,157.25
B00ULYNIH2,0,185,3159.074902,29.25089816,157.25
B00WXIS4NM,0,185,3096.891751,29.44931396,157.25
B0169P8PBK,0,185,2707.743616,29.50002022,157.25
B018IP4GVM,0,185,2567.083988,28.60053526,157.25
B018ITOAS2,0,185,2567.083988,28.60053526,157.25
B018JRGUR2,0,185,2567.083988,28.60053526,157.25
B019C6OX3W,1,145,2538.646944,25.35092538,123.25
